AGE,INCOME,LOANAMOUNT,CREDITSCORE,MONTHSEMPLOYED,NUMCREDITLINES,INTERESTRATE,LOANTERM,DTIRATIO,EDUCATION,EMPLOYMENTTYPE,MARITALSTATUS,HASMORTGAGE,HASDEPENDENTS,LOANPURPOSE,HASCOSIGNER,DEFAULT
32,29815,130015,528,1,4,21.53,12,0.48,PhD,2,0,2,1,Home,1,1
43,44236,74159,786,95,3,10.76,48,0.36,High School,2,1,1,1,Auto,1,0
59,28301,108810,524,33,3,6.68,36,0.39,Master's,2,1,1,2,Home,1,0
30,58104,145388,449,118,1,23.68,12,0.64,Bachelor's,2,2,1,2,Other,2,0
68,105572,244549,489,27,4,13.84,12,0.9,High School,1,0,2,1,Business,2,0
49,92500,68622,439,113,4,20.72,60,0.56,Master's,2,1,1,1,Other,2,0
56,38102,74817,401,97,4,8.49,24,0.67,PhD,1,2,1,2,Other,2,0
66,97972,153562,666,112,2,16.98,60,0.8,PhD,1,2,1,2,Education,1,0
69,126838,221077,818,35,2,23.15,36,0.37,High School,2,0,2,2,Business,1,0
49,133879,219533,841,33,2,8.82,48,0.3,Bachelor's,2,2,2,2,Business,1,0
21,110519,245997,406,16,2,22.18,48,0.42,High School,2,2,2,2,Other,2,0
47,116392,33750,508,88,2,23.3,48,0.26,Bachelor's,2,2,1,2,Home,1,0
54,65186,159843,743,51,4,14.36,36,0.23,Bachelor's,1,0,2,1,Home,2,0
40,78286,136444,580,6,2,19.22,24,0.51,PhD,2,2,2,2,Other,2,0
56,141454,142537,669,68,1,18.68,36,0.44,Master's,2,1,1,2,Auto,2,0
62,25124,219669,749,14,3,5.46,60,0.48,High School,2,0,1,1,Auto,1,0
32,32363,126320,620,49,1,13.96,60,0.61,PhD,2,0,2,2,Auto,2,0
60,72904,162983,536,88,1,8.4,48,0.37,PhD,1,0,1,1,Home,2,0
46,15192,152778,734,115,2,22.42,60,0.47,PhD,2,1,2,1,Auto,2,1
53,30295,137613,375,108,3,10.78,60,0.15,High School,2,0,1,2,Education,2,0
30,119334,147716,787,49,3,12.1,12,0.88,Master's,2,0,2,1,Auto,1,0
49,134889,86160,592,40,1,13.22,60,0.32,Master's,2,1,1,2,Home,1,0
24,49119,123531,541,52,2,7.55,60,0.52,High School,2,0,1,2,Business,1,0
68,142277,79391,316,39,4,13.76,48,0.88,Bachelor's,2,1,2,1,Education,1,0
39,99269,232619,720,68,2,11.86,24,0.19,Master's,2,0,1,2,Home,1,0
45,107954,100080,609,18,4,16.02,48,0.29,High School,2,0,1,2,Home,2,1
19,25678,134161,705,63,3,21.18,60,0.2,Bachelor's,2,2,2,1,Education,1,1
59,17550,227024,795,69,1,4.52,24,0.22,Bachelor's,2,1,1,1,Business,2,0
62,58724,92125,674,77,2,20.87,24,0.26,High School,1,1,2,1,Other,2,1
23,83406,139957,424,109,2,11.49,60,0.72,Master's,1,2,1,1,Home,2,0
45,54095,34835,770,94,4,15.15,24,0.8,High School,2,1,1,2,Education,1,0
45,148252,210244,695,8,4,15.1,48,0.34,PhD,2,0,2,2,Home,2,0
61,52904,223407,407,34,3,22.35,36,0.1,PhD,1,2,2,2,Auto,2,0
61,96822,230960,611,101,1,21.22,12,0.73,Master's,1,1,1,1,Home,1,0
37,131836,22699,657,103,2,24.04,48,0.71,PhD,2,2,2,1,Business,2,0
47,37882,138883,398,59,2,7.92,36,0.69,PhD,2,0,2,2,Home,1,0
28,72464,129521,739,41,3,17.45,24,0.54,High School,2,0,2,1,Other,2,0
45,15926,93334,777,76,1,5.95,48,0.12,PhD,2,1,2,1,Home,1,0
42,38024,106385,763,50,2,2.12,48,0.62,PhD,1,0,2,2,Business,2,0
56,145071,31141,480,8,1,5.42,36,0.19,High School,1,1,1,2,Auto,2,0
50,19296,91875,826,25,1,24.32,60,0.36,Bachelor's,2,0,1,2,Auto,2,0
18,146668,215629,517,31,4,5.24,12,0.77,High School,2,1,1,2,Other,1,0
44,114043,198339,406,92,4,15.74,48,0.65,Master's,2,1,1,2,Other,2,0
69,19459,29148,726,31,4,5.27,24,0.66,High School,1,1,2,2,Other,1,0
30,87178,85001,310,92,2,16.66,12,0.55,High School,2,1,2,1,Education,2,0
58,94033,159468,815,72,4,18.74,48,0.33,Bachelor's,2,2,2,1,Home,1,0
20,102312,17975,797,70,4,22.63,36,0.78,Bachelor's,2,2,1,2,Other,1,0
56,107124,249352,317,24,4,18.13,60,0.86,High School,2,2,1,1,Education,1,1
23,84774,120912,749,43,4,23.68,24,0.16,Master's,2,2,2,1,Home,1,0
25,127103,24296,626,46,4,20.05,48,0.32,Bachelor's,2,1,1,1,Education,2,0
44,101997,151516,708,2,3,18.06,12,0.28,Bachelor's,2,2,1,1,Other,2,0
26,47398,155340,334,88,3,15.39,36,0.75,PhD,2,1,1,2,Other,1,1
54,106956,87462,434,3,3,23.19,24,0.25,PhD,2,0,2,1,Education,2,0
50,59215,43116,381,69,4,6.84,36,0.2,Bachelor's,2,2,1,1,Home,1,0
68,17751,152696,811,119,1,17.25,60,0.52,High School,1,2,1,2,Auto,2,0
59,135003,121490,552,15,2,2.36,36,0.67,Master's,2,1,1,2,Other,1,0
61,109471,10327,347,112,4,14.48,36,0.51,High School,2,0,1,2,Home,2,0
41,93059,112026,413,31,1,18.55,24,0.45,PhD,1,0,2,2,Business,1,0
32,125786,239618,338,73,4,7.99,36,0.79,High School,2,2,2,1,Business,1,1
49,51396,84501,760,10,4,15.88,24,0.17,PhD,2,0,1,1,Auto,2,0
49,124296,120730,506,103,4,2.11,12,0.53,High School,2,1,1,1,Home,1,0
41,62578,112054,740,53,4,21.07,36,0.6,PhD,1,0,1,1,Home,2,0
58,117968,156263,583,59,2,17.65,36,0.23,Bachelor's,1,1,2,1,Other,1,0
69,86549,135912,721,114,3,2.77,36,0.52,PhD,2,2,1,2,Business,1,0
66,69939,193171,672,78,1,9.7,60,0.24,Master's,2,0,1,2,Other,2,0
66,142442,229406,464,60,1,23.12,24,0.41,Bachelor's,2,1,2,2,Other,2,0
69,142700,25379,494,116,3,4.33,24,0.66,High School,2,2,2,2,Home,1,0
29,38153,130923,470,68,2,4.67,48,0.38,High School,2,0,2,2,Other,2,0
56,22082,61460,624,11,1,2.88,48,0.72,Bachelor's,2,2,2,2,Education,1,0
19,91000,60224,730,50,3,11.66,60,0.59,Master's,2,1,2,2,Business,1,0
20,101465,179673,366,13,2,24.03,24,0.6,PhD,2,1,2,2,Education,1,1
66,100328,141500,831,94,3,13.95,36,0.56,PhD,2,2,1,2,Education,2,0
54,118126,211925,337,89,4,20.76,48,0.61,Bachelor's,1,1,1,1,Auto,1,0
66,99582,128774,671,75,4,15.25,48,0.18,High School,2,1,1,2,Education,1,0
34,117943,231285,337,81,1,14.66,48,0.9,Bachelor's,2,1,2,2,Education,1,1
66,70357,54481,610,54,2,6.22,24,0.49,Bachelor's,2,1,1,2,Other,2,0
19,70339,168776,528,83,1,13.64,12,0.17,High School,1,2,1,1,Other,2,0
19,67895,12136,308,108,2,8.46,36,0.72,PhD,2,2,1,1,Education,1,0
45,55996,174034,742,2,3,14.13,36,0.56,High School,2,1,2,1,Home,2,0
40,45622,115010,716,82,4,9.58,12,0.37,Bachelor's,1,2,1,2,Education,1,0
54,77280,194794,383,3,3,3.98,24,0.74,High School,2,1,1,1,Other,2,0
49,30010,67612,550,5,3,12.41,48,0.84,Bachelor's,2,1,2,2,Business,1,0
50,56946,6451,645,69,1,6.98,48,0.1,Bachelor's,2,1,1,2,Home,1,0
18,139771,118684,401,89,4,5.43,36,0.13,PhD,2,2,2,2,Auto,2,0
36,74307,66303,433,79,4,19.1,12,0.82,High School,1,1,2,1,Other,2,0
19,97219,189133,663,40,2,15.05,48,0.14,Bachelor's,2,0,1,2,Business,1,0
61,26051,196898,367,66,3,23.65,60,0.89,Bachelor's,2,2,1,2,Home,1,0
43,65835,212489,650,90,1,3.88,12,0.22,Bachelor's,2,2,1,2,Other,1,0
49,148568,110680,578,75,4,21.22,60,0.69,Bachelor's,1,1,2,1,Business,2,0
23,117261,214837,596,65,1,4.1,48,0.33,PhD,2,1,1,1,Education,2,0
49,39184,142572,533,0,2,9.43,60,0.35,High School,2,0,1,2,Auto,2,0
21,90751,68033,419,106,2,8.73,36,0.39,Master's,2,0,1,1,Auto,2,0
28,15223,101750,593,31,2,24.41,60,0.13,Master's,2,1,2,2,Home,2,0
34,75449,214723,466,9,4,13.31,24,0.61,PhD,1,0,1,1,Other,1,1
55,37451,43127,478,82,3,7.59,60,0.56,PhD,2,2,1,1,Other,2,0
41,87219,169189,401,103,1,17.73,60,0.73,PhD,2,2,1,2,Business,2,0
22,51990,119516,412,36,4,4.27,12,0.53,High School,2,1,1,2,Home,1,0
69,97532,199859,375,56,1,11.31,12,0.54,PhD,2,2,1,1,Other,1,0
51,84734,188838,655,33,4,7.85,36,0.77,High School,1,2,2,2,Auto,1,0
23,74090,205698,571,39,3,16.93,36,0.62,Bachelor's,2,0,1,2,Home,2,1
39,138971,140639,666,27,2,23.26,60,0.86,PhD,1,2,1,1,Home,2,0
28,85129,180135,809,62,4,10.89,12,0.7,Bachelor's,2,0,2,2,Auto,2,0
65,41931,5769,849,7,2,7.7,60,0.68,PhD,2,2,1,1,Other,2,0
33,140328,69711,826,49,2,23.01,48,0.75,High School,1,1,1,2,Auto,1,0
50,36135,185019,629,110,1,20.85,24,0.88,Master's,2,2,2,2,Business,1,0
26,19860,79822,788,92,3,14.71,36,0.43,Master's,1,1,2,2,Home,2,0
23,25382,143017,399,107,4,10.46,48,0.74,PhD,2,1,2,1,Education,2,0
33,132284,178353,317,49,3,2.16,24,0.58,High School,2,2,1,2,Education,1,0
46,149269,112616,376,41,3,16.21,24,0.33,Bachelor's,2,0,1,2,Other,1,0
20,18625,58127,643,84,4,12.12,60,0.55,Bachelor's,1,1,2,1,Other,1,1
37,109407,141444,332,98,2,14.12,24,0.33,PhD,2,1,2,1,Home,1,0
53,112739,79572,475,44,1,21.33,48,0.13,Bachelor's,2,0,2,2,Home,2,0
36,125253,99149,809,3,3,8.71,24,0.13,PhD,2,0,1,1,Auto,1,0
43,135815,117606,382,50,2,12.82,12,0.5,Bachelor's,2,0,2,2,Home,2,0
20,109299,237498,720,101,3,23.51,48,0.63,High School,2,2,2,1,Other,2,0
36,36766,238080,841,7,2,10.38,24,0.3,High School,2,1,2,1,Business,2,1
37,110938,104428,352,66,1,12.9,24,0.84,High School,2,2,1,1,Other,2,0
49,20550,195705,466,107,2,18.72,12,0.6,Master's,2,2,1,1,Education,1,0
24,99820,100491,328,39,3,11.46,24,0.64,PhD,1,0,2,1,Business,2,0
69,50325,194550,469,73,3,11.84,60,0.55,PhD,2,1,2,1,Home,2,0
58,90691,58855,614,119,2,14.19,36,0.61,Master's,2,1,1,2,Other,2,0
50,29876,203759,342,69,4,15.41,24,0.26,Master's,1,0,2,2,Education,1,0
57,120684,69420,642,96,1,5.6,48,0.17,PhD,2,1,1,1,Home,2,0
56,49119,138981,678,22,1,10.58,24,0.11,Bachelor's,2,0,1,1,Education,2,0
35,127186,91246,806,75,2,6.69,24,0.73,Master's,2,2,2,1,Business,1,0
57,23764,78444,315,21,2,24.61,36,0.56,Bachelor's,2,0,2,1,Auto,2,0
18,148711,221638,477,16,2,19.44,24,0.9,Master's,2,1,2,2,Education,1,0
28,38051,210838,595,105,1,4.98,24,0.6,High School,1,0,2,2,Home,2,0
45,146321,148088,304,106,2,18.69,24,0.5,PhD,2,1,2,1,Education,1,1
42,44991,63637,312,28,3,7.54,24,0.14,PhD,2,1,1,2,Home,2,0
67,27623,71510,680,91,2,17.82,24,0.67,PhD,2,1,2,1,Business,1,0
40,58540,127266,476,116,2,15.66,24,0.33,Bachelor's,2,1,2,2,Auto,2,0
48,51719,248465,339,23,3,9.41,60,0.46,Master's,1,1,1,1,Business,1,0
47,34638,136472,754,6,4,20.06,60,0.15,Master's,2,1,1,2,Auto,2,0
59,49164,162916,530,18,1,15.52,60,0.57,Bachelor's,2,0,2,2,Education,1,0
52,139946,184340,499,95,1,19.53,60,0.36,Master's,2,0,2,2,Education,2,0
24,83151,234323,324,64,1,9.38,12,0.21,Master's,2,2,1,1,Auto,1,0
33,60484,116501,546,97,1,22.56,24,0.39,High School,2,1,1,2,Other,2,0
43,56029,237121,518,29,4,22.24,36,0.38,Master's,2,2,1,1,Other,2,0
65,127576,205024,461,58,4,11.9,60,0.73,Master's,2,1,2,1,Home,1,0
69,16945,167105,396,30,4,5.78,60,0.87,PhD,2,1,2,1,Auto,1,0
66,126029,11864,787,23,1,10.72,36,0.76,Master's,2,0,2,1,Education,1,0
19,92790,52133,815,14,3,14.88,24,0.11,PhD,2,1,1,1,Education,2,0
18,94495,194108,626,31,1,18.03,36,0.21,Master's,2,1,2,1,Education,2,0
65,60298,97181,399,20,1,4.21,24,0.32,PhD,2,0,1,1,Business,2,0
29,21718,150488,816,81,2,7.83,12,0.21,Bachelor's,2,2,1,2,Home,2,0
22,17957,64185,659,3,3,24.28,60,0.3,PhD,1,0,1,1,Auto,2,0
54,110964,63551,641,110,1,12.37,12,0.52,Master's,2,2,1,2,Auto,1,0
49,22881,151191,823,118,3,12.17,48,0.48,Bachelor's,2,0,1,1,Auto,2,0
26,27633,130243,518,82,3,23.74,60,0.63,PhD,2,2,2,1,Home,2,0
58,122515,180859,698,45,3,3.4,48,0.33,Bachelor's,2,0,2,1,Other,1,0
52,129391,222103,402,84,2,2.92,24,0.8,High School,1,2,1,1,Auto,2,0
36,118282,106919,718,112,1,13.88,24,0.4,PhD,2,1,2,2,Education,1,0
65,30370,170883,648,20,3,9.49,24,0.67,Master's,1,0,1,2,Home,2,0
33,100822,249620,592,17,4,7.93,60,0.69,High School,2,1,2,1,Education,2,0
20,143978,42768,559,83,3,12.47,60,0.69,High School,2,2,1,1,Education,1,0
37,98252,76613,586,119,1,21.6,60,0.74,Master's,2,0,1,1,Education,1,0
41,83488,73238,324,19,3,6.3,48,0.4,Bachelor's,2,2,2,2,Education,2,0
50,90093,124701,331,33,2,4.39,48,0.47,PhD,2,2,1,1,Home,1,0
41,147188,136447,517,85,1,7.01,24,0.38,High School,2,1,2,1,Education,2,0
69,109647,130258,644,17,2,8.12,60,0.5,Master's,2,0,1,1,Auto,1,0
